"twitter","avatar","updatedAt","createdAt","id","name","ownerId"
"serverlessciso","content/avatars/miguel-a-calles-mba/avatar.jpg","2024-06-16T20:29:52.042Z","2022-07-17T22:00:00.000Z","01G872SSR0S3CQSNJ2GK06KT2N","Miguel A. Calles","1"
"jayair","content/avatars/jay-v/avatar.jpg","2024-06-16T20:29:39.430Z","2021-05-25T11:00:00.000Z","01F6HJWVW0GC3TBG181RWRZK1E","Jay V","1"
"kristianpaul0","content/avatars/cristian-penaranda/avatar.jpeg","2024-06-16T20:29:25.711Z","2020-11-10T11:00:00.000Z","01EPRWZZW0MWWB9VD25YXDF0CT","Cristian Paul Peñaranda Rojas","1"
,"content/avatars/aws/cdkdevlogo.jpg","2024-06-16T20:29:19.186Z","2021-01-04T09:00:00.000Z","01EV69ZSM0ANYHA4T4PCBDT01T","AWS","1"
,"content/avatars/borislav-hadzhiev/avatar.png","2024-06-16T20:29:36.809Z","2021-01-04T09:00:00.000Z","01EV69ZSM0N4HZ5YZ994ZBW5F2","Borislav Hadzhiev","1"
"der_rehan","content/avatars/rehan-v-d-merwe/avatar.jpg","2024-06-16T20:29:30.210Z","2021-01-04T09:00:00.000Z","01EV69ZSM0K7CPE40S7EQKHEAV","Rehan van der Merve","1"
,"content/avatars/shawn-torsitano/avatar.jpg","2024-06-16T20:29:48.188Z","2022-06-20T20:45:00.000Z","01G61DS270KJC9WHQ1N0HM38HN","Shawn Torsitano","1"
"hoegertn","content/avatars/thorsten-hoeger/cdkdevlogo.jpg","2024-06-16T20:29:31.518Z","2021-01-04T09:00:00.000Z","01EV69ZSM0MM6EBAYQYT89EFVG","Thorsten Hoeger","1"
"deeheber","content/avatars/danielle-heberling/avatar.jpg","2024-06-16T20:29:50.147Z","2023-03-06T22:00:00.000Z","01GTWF0HR0G06H6HVP9V6TAR1E","Danielle Heberling","1"
"realadamjkeller","content/avatars/adam-keller/avatar.jpg","2024-06-16T20:29:20.831Z","2020-09-17T16:00:00.000Z","01EJECPG00EK8CSYAX39EVMZHF","Adam Keller","1"
"oieduardorabelo","content/avatars/oieduardorabelo/avatar.jpg","2024-06-16T20:29:53.221Z","2023-08-08T16:00:00.000Z","01H7AY0S00PCGFF6ECAC0RXD8E","Eduardo Rabelo","1"
,"content/avatars/jacco-kulman/jacco.jpeg","2024-06-16T20:29:50.859Z","2023-03-09T16:14:00.000Z","01GV3JD5A0YWA1P4A0J40K250N","Jacco Kulman","1"
"rehanhaider","content/avatars/rehan-haider/avatar.jpg","2024-06-16T20:29:36.371Z","2021-01-26T09:00:00.000Z","01EWYYQKM05392T8V39KQ2V56X","Rehan Haider","1"
"dannysteenman","content/avatars/danny-steenman/avatar.png","2024-06-16T20:29:31.871Z","2022-08-05T13:00:00.000Z","01G9Q1EP40BTK0MJYMYYAYCC7C","Danny Steenman","1"
,"content/avatars/joel-knight/cdkdevlogo.jpg","2024-06-16T20:29:35.526Z","2021-01-04T09:00:00.000Z","01EV69ZSM0S7V76B63BBG2GV7J","Joel Knight","1"
"jolodevguru","content/avatars/john-nguyen/avatar.jpeg","2024-06-16T20:29:54.641Z","2023-12-12T21:00:00.000Z","01HHFX8N40CE8QXAAQCEN1S482","John Nguyen","1"
"udondan","content/avatars/udondan/udondan.jpg","2024-06-16T20:29:27.899Z","2021-01-03T12:00:00.000Z","01EV41WNG0FW95CCWRSNETK2F4","Daniel Schroeder","1"
,"content/avatars/rosius-ndimofor/cdkdevlogo.jpg","2024-06-16T20:29:39.142Z","2021-01-04T09:00:00.000Z","01EV69ZSM0CXXJC7VRF47SA4BX","Rosius Ndimofor","1"
,"content/avatars/wojciech-matuszewski/cdkdevlogo.jpg","2024-06-16T20:29:43.437Z","2021-01-04T09:00:00.000Z","01EV69ZSM0CP6F93E5553C5D7H","Wojciech Matuszewski","1"
